드롭다운이름,lat,lon,사고건수,가로등수
강남구 포스코사거리,37.5066708401469,127.05649328958377,34,0
강남구 교보타워사거리,37.504636463387435,127.02480208738916,74,0
강남구 르네상스호텔사거리,37.502586028827984,127.0428058969393,56,0
강남구 차병원사거리,37.50744534648707,127.03387370469106,54,0
강남구 수서역앞교차로,37.487421994170106,127.10183142045452,59,6
강남구 강남을지병원사거리,37.51965549810206,127.02796308551135,55,0
강남구 대치우성아파트앞교차로,37.50107882774139,127.06750416212533,47,0
강남구 코엑스앞교차로,37.514408574537256,127.06032228502613,56,0
강남구 양재전화국교차로,37.48547640155994,127.04141670695371,40,0
강남구 삼성동현대백화점,37.50759753982743,127.05921972363599,55,0
강남구 학동역교차로,37.51396043240417,127.03086790500093,45,0
강남구 경복아파트앞교차로,37.508858613190945,127.03817225648979,45,0
강남구 구룡터널앞교차로,37.475882372941975,127.0586407286337,51,0
강남구 신사역사거리,37.5164495680497,127.01985158408155,45,0
강남구 선릉역사거리,37.50452968365123,127.04926481358831,48,0
강남구 강남세브란스교차로,37.494250266764546,127.04664589102858,45,0
강남구 성수대교남단교차로,37.529159564966285,127.03373644794975,45,18
강남구 논현역앞교차로,37.510980197207445,127.02143362204099,36,0
강남구 포스코사거리,37.506950200224296,127.0563917100199,38,0
강남구 청담사거리,37.52409134911855,127.04712828033442,31,0
강남구 개나리아파트앞교차로,37.49851277900364,127.04470343954969,35,0
강남구 기독교TV,37.50360964898352,127.05162789568708,37,0
강남구 차병원사거리(서남서방향 231M),37.50676127308536,127.0313738896765,34,0
강남구 교보타워사거리(남남동방향 57M),37.50407784005496,127.02480190259266,45,0
강남구 수서역앞교차로,37.48742239283191,127.10136783148675,45,4
강남구 르네상스호텔사거리,37.5023068477062,127.0424438396586,35,0
강남구 선릉역사거리,37.504665003513054,127.04885775457784,47,0
강남구 삼성동현대백화점,37.50777742149363,127.05985323322423,47,0
강동구 천호사거리(동남동방향 104M),37.5383700111495,127.12454147606535,23,0
강동구 길동사거리,37.53403865395775,127.13851849101289,38,0
강동구 천호사거리,37.538668244293255,127.12368204784953,50,0
강동구 상일동역앞교차로,37.55727793169667,127.17096379228067,29,0
강동구 생태공원앞교차로,37.53822918356616,127.15243203769619,31,0
강동구 동부기술교육원앞교차로,37.55479938119958,127.14460030884842,25,0
강동구 강동성심병원앞교차로,37.535494303003524,127.1341538591301,22,0
강동구 천동초교입구교차로,37.54083782113697,127.14137116321969,22,0
강동구 천호신사거리,37.53769246044776,127.12623754594281,24,0
강동구 명일역앞교차로,37.55084484192168,127.14391367079784,24,0
강동구 현대오일뱅크,37.53900262873139,127.12270952364918,23,2
강동구 둔촌사거리,37.52159216639882,127.13388009535163,23,0
강동구 현대오일뱅크(서북서방향 108M),37.539589634056306,127.12139795350491,20,10
강동구 마루빌딩,37.536920220490636,127.13990419321888,20,0
강동구 강동역(서울5호선),37.535820857052734,127.13220837396983,17,0
강동구 상일IC입구교차로,37.546948825616546,127.17348630803485,24,0
강동구 산경빌딩(서북서방향 56M),37.537185694519486,127.12828462849622,20,0
강동구 강동성심병원앞교차로,37.536718822688464,127.13489149504008,15,0
강동구 천호신사거리(서북서방향 120M),37.53822501350125,127.12533326569341,20,0
강동구 굽은다리역교차로(북방향 155M),37.54778214463333,127.14334197406102,18,0
강동구 강일동680(북서방향 280M),37.569814461764054,127.16840027851167,19,0
강동구 명일역앞교차로(남방향 98M),37.549988909926554,127.14390070858846,14,0
강동구 굽은다리역교차로,37.54641246565348,127.1434751428808,16,0
강동구 천호동공원사거리,37.54555870049174,127.12575291263309,19,0
강동구 길동사거리앞교차로,37.533891534956595,127.14101862815978,17,0
강동구 길동사거리(남방향 61M),37.53340790203769,127.13856258041407,19,0
강동구 천호초교입구교차로,37.547170764769106,127.13458216065142,18,0
강동구 천호사거리(북북동방향 104M),37.53950591149175,127.12393235968855,14,0
강동구 동우빌딩-국민은행,37.534858309989666,127.13873497711964,18,0
강동구 풍납토성앞,37.53904841720336,127.12199676312316,21,5
강북구 수유역앞교차로,37.63784847704217,127.02540146266824,59,0
강북구 미아사거리,37.6091869104065,127.03032961831099,36,0
강북구 삼양시장앞교차로,37.62496569843321,127.01826052194887,20,0
강북구 미아사거리(북동방향 76M),37.60976323191293,127.03151903621729,25,0
강북구 광산사거리,37.64293958961449,127.02270651433261,30,0
강북구 수유역앞교차로(남서방향 61M),37.637632310931934,127.02507282517269,26,0
